sid,tid,r,n
1,3,45,410
1,6,70,405
1,4,32,202
2,3,119,4096
2,4,154,3954
2,2,302,6766
3,5,1,196
3,2,8,196
4,3,138,2800
4,2,200,2826
5,6,799,7040
5,4,567,7072
6,3,337,5183
6,6,380,5230
7,5,163,2715
7,1,202,2721
8,3,449,2623
8,1,489,2646
9,2,29,416
9,1,20,424
10,4,177,4841
10,1,154,4870
11,6,86,3297
11,2,75,3272
12,3,102,2837
12,1,155,2883
13,4,136,2508
13,2,176,2511
14,6,665,8078
14,4,569,8098
15,5,242,4020
15,6,320,3979
16,6,37,1102
16,2,43,1081
16,1,34,2213
17,6,251,5059
17,4,216,5095
18,3,335,3432
18,1,399,3472
19,5,93,2167
19,1,115,2175
20,2,140,1631
20,1,118,1578
21,3,93,1970
21,6,97,1960
21,4,95,1965
22,5,690,5087
22,4,845,5074
