sid,tid,r,n
1,3,22,50
1,1,10,50
2,7,15,15
2,1,4,15
2,3,15,15
3,6,9,14
3,1,1,14
4,6,1,10
4,2,2,10
5,8,18,27
5,4,15,27
5,1,21,27
5,2,7,28
6,4,24,60
6,2,5,19
7,6,15,30
7,1,0,10
8,4,4,12
8,1,1,9
9,6,14,22
9,8,35,45
9,1,3,22
9,2,23,56
10,4,90,108
10,1,4,27
11,3,67,85
11,7,65,85
11,1,43,85
12,4,193,233
12,1,49,77
13,3,7,30
13,1,0,30
14,4,30,40
14,1,19,40
15,6,83,99
15,1,30,50
16,3,35,41
16,4,37,40
16,1,6,22
17,4,167,270
17,1,26,98
18,4,17,40
18,6,24,40
18,2,8,40
19,3,26,36
19,1,18,36
20,5,31,35
20,7,70,105
20,1,8,35
21,5,12,20
21,8,2,20
21,1,7,20
22,3,29,51
22,6,34,52
22,1,17,47
23,5,12,19
23,2,2,20
23,3,2,22
24,8,26,34
24,2,20,37
25,3,24,40
25,2,16,40
26,4,27,33
26,1,13,31
27,4,26,30
27,1,10,30
27,6,22,29
28,4,24,47
28,1,6,46
29,3,62,95
29,1,47,95
30,7,25,40
30,1,10,40
31,4,16,31
31,1,11,31
32,8,13,50
32,2,6,25
33,5,31,35
33,6,43,70
33,1,9,35
34,6,24,31
34,1,7,30
35,4,35,77
35,8,3,38
35,1,5,38
36,3,6,15
36,4,2,15
36,2,7,15
36,5,7,15
37,3,22,32
37,1,14,34
38,4,54,89
38,1,24,94
39,8,4,50
39,1,6,25
40,4,16,20
40,1,3,20
41,6,43,51
41,2,31,51
42,6,11,22
42,5,20,22
42,1,7,22
43,4,24,30
43,1,4,30
