sid,tid,r,n
1,1,7,107
1,2,5,105
2,1,1,44
2,2,0,44
3,1,6,72
3,2,6,72
4,1,10,50
4,2,9,51
5,1,15,112
5,2,16,115
6,1,43,514
6,2,43,504
7,1,22,105
7,2,6,96
8,1,1,34
8,3,2,32
9,1,84,1084
9,3,87,1082
10,1,0,51
10,3,0,50
11,1,95,1138
11,3,85,1148
12,2,8,257
12,3,15,259
13,2,3,202
13,3,3,205
14,2,0,59
14,3,0,58
15,2,0,42
15,3,0,42
16,2,10,60
16,3,4,60
17,2,4,410
17,3,4,413
18,2,2,176
18,3,2,178
19,2,1,59
19,3,0,57
20,2,3,54
20,3,6,56
21,2,1,30
21,3,0,30
22,2,14,796
22,3,4,794
23,2,5,223
23,3,6,229
24,2,1,208
24,3,3,202
25,2,0,55
25,3,0,55
26,2,0,43
26,3,1,42
27,2,3,365
27,3,3,370
28,2,4,322
28,3,5,286
29,2,3,200
29,3,2,204
30,2,0,196
30,3,0,192
31,2,3,146
31,3,0,154
32,2,0,126
32,3,3,125
33,2,0,60
33,3,0,60
34,2,0,66
34,3,0,31
35,2,0,48
35,3,0,48
36,2,4,189
36,3,1,192
37,2,1,182
37,3,1,169
38,2,1,71
38,3,1,74
39,2,0,143
39,3,0,145
40,2,0,195
40,3,4,393
41,2,0,106
41,3,1,96
42,2,10,111
42,3,0,110
43,2,1,100
43,3,1,100
44,2,1,22
44,3,0,23
45,2,1,122
45,3,0,124
46,3,1,26
46,4,0,24
47,3,0,58
47,4,1,117
48,3,0,38
48,4,1,152
49,3,5,519
49,4,5,522
50,3,0,30
50,4,0,31
51,3,0,134
51,4,0,135
52,3,2,136
52,4,0,131
53,3,8,652
53,4,9,662
54,3,8,576
54,4,7,569
55,3,2,227
55,4,0,219
56,3,1,10
56,4,0,20
57,3,4,525
57,4,7,533
58,3,5,118
58,4,9,120
59,3,1,177
59,4,2,175
60,3,0,50
60,4,0,50
61,3,5,250
61,4,7,250
62,3,1,159
62,4,1,163
63,3,1,100
63,4,0,100
