sid,tid,r,n
1,3,2,220
1,1,2,221
2,3,7,128
2,1,16,133
3,16,5,89
3,1,5,91
4,15,3,67
4,1,8,66
5,3,12,293
5,1,10,292
6,4,168,1238
6,1,172,1243
7,4,70,397
7,1,81,372
8,2,38,692
8,1,27,684
9,14,1,87
9,1,3,91
10,14,0,48
10,1,1,45
11,7,5,76
11,1,2,41
12,3,15,277
12,1,23,320
13,11,76,1168
13,1,75,1160
14,6,7,53
14,1,12,63
15,15,2,16
15,8,3,16
15,1,0,14
16,16,2,53
16,1,1,40
17,12,0,22
17,1,3,22
18,14,0,60
18,7,5,61
18,1,4,61
19,4,0,35
19,3,0,42
19,1,1,29
20,10,7,76
20,1,11,80
21,9,2,47
21,1,5,51
22,6,29,189
22,1,25,193
23,4,0,53
23,1,1,47
24,4,188,1503
24,1,14,408
25,4,1,33
25,2,2,33
25,1,0,32
26,9,1,151
26,1,3,151
27,13,1,48
27,1,6,45
28,8,2,56
28,1,3,58
29,4,0,53
29,1,1,47
30,6,4,196
30,1,2,196
31,6,14,137
31,1,15,131
32,7,1,106
32,1,0,98
33,2,5,188
33,1,2,168
34,3,0,121
34,1,2,124
35,5,4,398
35,1,4,394
